Feature,Gain,Cover,Frequency
horas_prom,0.12449207309374669,0.05125131119349656,0.05571679859278804
prop_cotiza_pension,0.10556289315746364,0.02395776409568511,0.013368513632365875
prop_subsidiado,0.08839837958504955,0.02950169604403408,0.03056288478452067
arriendo_estimado,0.08656516820379782,0.06456001610787909,0.0440193491644679
menores_por_ocupado,0.07294930662673674,0.01437305727614028,0.012972735268249781
prop_microempresa,0.054129953048508275,0.01457116777567292,0.012093227792436236
tasa_empleo_total,0.03934554765784295,0.014916181316867425,0.018777484608619173
cuartos_pc,0.03269010594365157,0.010736862644218413,0.0158311345646438
hacinamiento,0.026911891719187602,0.01572126248619355,0.02453825857519789
prop_menores,0.02413139851304325,0.009749778607417938,0.014379947229551451
prop_asalariado,0.020334552702270137,0.01814559585692784,0.013896218117854001
tipo_tenencia,0.019385563649051422,0.01601596388157307,0.017810026385224276
valor_alojamiento,0.01909226022335243,0.03240976542057989,0.033597185576077396
nivel_educ_prom,0.016902901821953354,0.029992149385559587,0.0405452946350044
antiguedad_prom,0.015225763894887017,0.03960127516769619,0.05430958663148637
alguno_arriendos,0.01357978388431998,0.018599170725948102,0.005364995602462621
ciudad,0.013524608823664217,0.04420619744397932,0.04445910290237467
zona,0.013076338443637552,0.01823332845344907,0.010773966578715918
edad_prom,0.011586641792377964,0.03189736146285498,0.053737906772207564
dpto,0.011308538496160713,0.048412710846028516,0.0440193491644679
edad_jefe,0.010565710257443696,0.03114120705123522,0.05048372911169745
dep_empleo_formal,0.010521982022777604,0.002107118170941906,0.002594547053649956
num_personas_ug,0.009855665200599644,0.009399360255986994,0.010642040457343887
prop_fam_sin_rem,0.009538179705291142,0.016938084395003494,0.01108179419525066
prop_sub_transp,0.008909671793337185,0.0184051744697755,0.010949868073878629
prop_gran_empresa,0.008496725446708611,0.010251199272097274,0.008267370272647317
prop_afil_salud,0.0078033113725950115,0.016724513044028118,0.013808267370272647
nivel_educ_max,0.0075751195162108206,0.004595863854251589,0.010686015831134564
num_personas,0.0069083069181255195,0.009486377201734536,0.00963060686015831
n_menores_18,0.006773342922381962,0.008971831282279729,0.007036059806508356
alguno_transf_nac,0.006505023703723207,0.017053345092415025,0.011169744942832014
nivel_educ_jefe,0.006178475804656816,0.007999661128129828,0.012928759894459104
prop_prima_serv,0.006008948431695584,0.011171397409809254,0.014160070360598066
prop_cta_propia,0.005502385899950565,0.012698212883459929,0.014643799472295514
prop_pensionado,0.00484185846094866,0.01580644588874546,0.0026824978012313103
prop_mujeres,0.004696917974618053,0.015491208210703947,0.025813544415127527
tasa_desempleo,0.004653981881900687,0.011016917652634035,0.011829375549692172
prop_subempleo,0.004397641248874153,0.013181180338231367,0.014204045734388743
hacinamiento_dorm,0.004178258160892028,0.00998166542798494,0.017854001759014953
prop_patron,0.004058080231788244,0.013295098566618334,0.005584872471416007
arriendo_pagado,0.003205137765134969,0.011822242362809227,0.008970976253298154
prop_jornalero,0.0030450728650987906,0.013951790496232354,0.004529463500439754
prop_2do_empleo,0.0029111776362683883,0.015517316987465673,0.007211961301671064
prop_adultos_may_p,0.0028754512847196816,0.0045085180285459854,0.006728232189973615
prop_informal,0.0027442825734926082,0.007011485149981492,0.0113896218117854
num_cuartos,0.002724423799736385,0.011014761717248862,0.013324538258575198
tasa_ocupacion,0.002645470486944029,0.0076526114257382165,0.01345646437994723
educ_superior_jefe,0.002619721375643523,0.0023079749927950545,0.002990325417766051
ratio_depend,0.0025751505218445893,0.01412715687556966,0.016666666666666666
n_inactivos,0.00243811546223004,0.00670321433721243,0.011521547933157432
n_desempleados,0.002393594585841121,0.003325296023372569,0.005408970976253298
alguno_agropec,0.0022604195314890247,0.014057278618016004,0.002550571679859279
alguno_subsidio,0.002074797683293845,0.005873462180440474,0.008091468777484609
tenencia_insegura,0.0019871450526273535,9.642029248775442e-4,0.002418645558487247
num_cuartos_dorm,0.001710006445366903,0.005571244954759869,0.008135444151275286
vivienda_propia_pag,0.0016497119487163278,0.0017639686155491647,0.0023306948109058927
prop_domestico,0.0016339981764031636,0.012808531897495538,0.0047053649956024625
alguno_remesas,0.001592230180701356,0.01039957254191764,0.0029023746701846965
mujer_jefa,0.0015074327594689803,0.0048769334498519465,0.005496921723834653
rural_costa_caribe,0.0013538393093120256,0.006379518106197931,0.003518029903254178
n_ocupados,0.001088915680833165,0.004875075452759586,0.006112576956904134
hogar_monoparental,8.307659905076398e-4,0.0029042623040722512,0.0034740545294635002
antiguedad_alta,8.049614042820178e-4,0.00151659062569807,0.002990325417766051
dep_educacion,6.794526347390614e-4,0.001048185341664544,0.0031662269129287598
un_solo_ocupado,6.657338981619046e-4,0.0019231356607154438,0.003430079155672823
prop_sub_alim,5.702918508423505e-4,0.00735384170043742,0.0011433597185576078
n_adultos_may,5.039125732866555e-4,9.431108151240563e-4,0.002638522427440633
alguno_cesantias,4.912442681603551e-4,0.003243809900288493,0.0014511873350923482
educ_media_o_mas,3.9596052428702113e-4,8.836026941084226e-4,0.0022867194371152155
dep_dependencia,2.965067277938584e-4,0.0011609479986662407,0.0015391380826737027
alguno_intereses,2.917605293442087e-4,0.007526623452608104,0.0012752858399296394
alguno_pension_jub,1.389455242020482e-4,0.0026534254602464387,6.596306068601583e-4
dep_proteccion,5.211364364703121e-5,6.119615728748161e-4,2.638522427440633e-4
sin_ocupados,4.978061615337641e-5,9.165297100993416e-5,1.3192612137203166e-4
dep_vivienda,2.9216454204138194e-5,5.8214575380127816e-5,2.638522427440633e-4
