spec,descripcion,n_features,best_hp_depth,best_hp_eta,best_hp_gamma,best_technique,best_nrounds,F1_OOF,Precision_OOF,Recall_OOF,AUC_ROC_OOF,threshold
A,componentes (sin índices),75,6,0.08,0.5,baseline,496,0.7394,0.6984,0.7854,0.9412,0.37
B,índices (sin componentes),66,6,0.1,1,baseline,485,0.735,0.7003,0.7732,0.9397,0.38
