technique,F1,Precision,Recall,AUC_ROC,threshold,best_nrounds
baseline,0.7387,0.7044,0.7765,0.9434,0.38,493
class_weights,0.7372,0.6974,0.7817,0.943,0.68,498
smote,0.7369,0.6884,0.7926,0.9429,0.36,499
upsample,0.7368,0.6943,0.7849,0.9429,0.67,499
downsample,0.734,0.6887,0.7857,0.9417,0.7000000000000001,402
