Feature,Gain,Cover,Frequency
prop_cotiza_pension,0.09889818133033332,0.01633521328729266,0.00761354686269362
arriendo_estimado,0.09441169646902792,0.06330074906689927,0.04406230856742802
horas_prom,0.09301139300962832,0.048900019647977216,0.05644526122341822
menores_por_ocupado,0.07343133543016762,0.015357563664227084,0.013170560952130919
prop_contributivo,0.07195397039025998,0.025090524859594763,0.024853417344884922
tasa_empleo_total,0.04624716574690594,0.014589659921522955,0.016671042268311894
indice_formalidad,0.040642490675231596,0.01912584260828793,0.014351973396341996
prop_microempresa,0.03987840813840148,0.016236029773137126,0.011726612409206265
prop_subsidiado,0.03436310167713196,0.011398173856254235,0.020127767568040605
hacinamiento,0.030420960111150124,0.01712187691725063,0.02323444473615122
n_menores_18,0.023873030738256622,0.009320052467363915,0.006082086286864444
prop_menores,0.022543567328899918,0.010945119164637881,0.013651877133105802
num_personas_ug,0.02221725721920376,0.013125426820308142,0.010151395816924827
formal_estricto,0.018333663787927328,0.005919376587034564,0.005907062221055395
tipo_tenencia,0.016997663331680412,0.021048958355692916,0.017983722761879758
antiguedad_prom,0.015233115997422345,0.038660804896108805,0.05128205128205128
valor_alojamiento,0.01459177029459573,0.0333492184139508,0.02940404305592019
nivel_educ_prom,0.01451525756152167,0.028277657031113408,0.03360462063533736
zona,0.012366902444732259,0.021553690049265096,0.008576179224643389
ciudad,0.010513244392237149,0.04136744982117084,0.0400367550538199
edad_jefe,0.009953685459014658,0.03188156697446571,0.04476240483066422
edad_prom,0.009913802860364695,0.02802395662760536,0.04730025378489542
prop_asalariado,0.00988616211007459,0.013822965864736391,0.010238907849829351
cuartos_pc,0.009316599227926187,0.008659232268299543,0.012995536886321869
prop_fam_sin_rem,0.008816972356243513,0.018032194836812676,0.009538811586593157
dpto,0.007685856363707121,0.03151401951726429,0.04191826376126717
alguno_arriendos,0.007458609437206358,0.010969711884231336,0.0034129692832764505
ingresos_activos,0.006885107795374611,0.0056707090622754785,0.002887897085849304
prop_prima_serv,0.006245162078601651,0.010158586258803259,0.011901636475015315
num_personas,0.006058321092366049,0.008902796674482195,0.010457687932090662
nivel_educ_jefe,0.0053214527918562515,0.006821075006657381,0.010545199964995186
prop_gran_empresa,0.0051134736221323885,0.008765800719871177,0.008051107027216241
region_pacifico,0.004859049773379539,0.008204683029243102,0.0066071584842915905
n_fuentes_no_lab,0.004843452965188673,0.012997407905869245,0.01303929290277413
alguno_transf_nac,0.004799809202926951,0.011318029237556112,0.009538811586593157
prop_cta_propia,0.004687723409918699,0.013877573428382833,0.013126804935678657
tasa_ocupacion,0.004685265877045161,0.008205993197136077,0.015708409906362124
n_privaciones,0.004559583120971269,0.00416401891201363,0.006388378402030279
prop_patron,0.004450466866532291,0.014012434872681244,0.005294477990723724
prop_mujeres,0.0040765430611125475,0.015074065965020575,0.02340946880196027
nivel_educ_max,0.003970040680769697,0.005146330703627627,0.010370175899186138
prop_sub_transp,0.003878478569948827,0.013175441479680477,0.007919838977859455
tasa_desempleo,0.003840741530222186,0.007453666599503489,0.011070272162422333
prop_pensionado,0.0037266896636821063,0.016172808075093834,0.0026691170035879935
prop_subempleo,0.0036530982915196028,0.013952203245071286,0.011245296228231382
hacinamiento_dorm,0.0033405932062442246,0.006123063306723437,0.013651877133105802
arriendo_pagado,0.003321731653248074,0.012403089214569821,0.008838715323356961
prop_2do_empleo,0.0030172658603567137,0.01661198844967825,0.0077010588955981445
prop_informal,0.0029723732576341752,0.007628628644192582,0.010632711997899712
num_cuartos,0.0028270890436541967,0.011970131893588745,0.013258072985035443
