technique,F1_mean,F1_sd,th_mean
baseline,0.677430942658024,0.0031407511106180874,0.252
upsample,0.6754638029914912,0.00546953252767223,0.7140000000000001
downsample,0.6717452392257605,0.00450116382794889,0.762
smote,0.6687293805724732,0.0021134842978346503,0.378
class_weights,0.6613441644626297,0.0029564798127374122,0.89
