technique,F1,Precision,Recall,AUC_ROC,threshold,best_nrounds
baseline,0.7365,0.7023,0.7742,0.94,0.38,493
upsample,0.7348,0.6965,0.7777,0.9395,0.66,498
class_weights,0.7343,0.6874,0.788,0.9395,0.65,498
smote,0.7339,0.6862,0.7886,0.9394,0.36,496
downsample,0.7309,0.6926,0.7736,0.9379,0.7000000000000001,307
