subset,n_vars,F1_mean,F1_sd,th_mean
all,81,0.673514556772351,0.0020000624217938593,0.36
top60,60,0.6648224404484326,0.001472947053927844,0.344
top40,40,0.6605839945641448,0.0029605443705033236,0.352
top20,20,0.625254295292698,0.0028616486515542086,0.324
