variable,Gain,Cover,Frequency,rank_gain,gain_norm,gain_cumul
edad_jefe,0.010613982394883129,0.020443968084912376,0.04211051930758988,23,0.010613982394883127,0.7465988964182502
ingresos_activos,0.009236383671632766,0.007194499696664383,0.0030625832223701733,24,0.009236383671632764,0.7558352800898829
educ_prom_sq,0.008861853417784494,0.009582942612751206,0.021105193075898802,25,0.008861853417784492,0.7646971335076673
formal_estricto,0.008605110764418568,0.008463641732365452,0.006358189081225033,26,0.008605110764418566,0.7733022442720859
hacinamiento_sq,0.008425651759088822,0.00577859167284894,0.010286284953395473,27,0.00842565175908882,0.7817278960311748
dpto,0.007601346151672673,0.026224095726495287,0.03285619174434088,28,0.007601346151672671,0.7893292421828474
prop_menores,0.006997949787505042,0.006484080245005993,0.011418109187749667,29,0.00699794978750504,0.7963271919703524
zona,0.006920586182014199,0.011224515310606722,0.0059254327563249,30,0.006920586182014197,0.8032477781523666
prop_fam_sin_rem,0.006769758547445217,0.0184483086855288,0.006691078561917444,31,0.006769758547445215,0.8100175366998118
prop_prima_serv,0.006757161947340074,0.00895019731682327,0.00922103861517976,32,0.006757161947340072,0.8167746986471519
edad_jefe_sq,0.006623043953686247,0.012997113662134003,0.026431424766977362,33,0.006623043953686245,0.8233977426008382
alguno_arriendos,0.006399286317809713,0.010538315165281658,0.002762982689747004,34,0.006399286317809711,0.8297970289186479
region_pacifico,0.006305761770266902,0.006585250708269494,0.005625832223701731,35,0.006305761770266901,0.8361027906889148
vivienda_propia_pag,0.005902721548949122,0.0032736557480883316,0.005292942743009321,36,0.00590272154894912,0.8420055122378639
hacinamiento_dorm,0.005430604322017492,0.00850884322979103,0.012549933422103862,37,0.005430604322017491,0.8474361165598814
prop_subempleo,0.005389538833502116,0.010216135457394058,0.008488681757656458,38,0.0053895388335021156,0.8528256553933835
prop_gran_empresa,0.005386626988398612,0.008745308592354246,0.007157123834886817,39,0.0053866269883986115,0.8582122823817822
prop_cta_propia,0.00534599393033758,0.00867681149223169,0.011884154460719042,40,0.005345993930337579,0.8635582763121198
tasa_ocup_sq,0.005297413541415896,0.005723235894889493,0.008988015978695073,41,0.005297413541415895,0.8688556898535357
educ_x_rural,0.005224188284369797,0.00867056795696341,0.006058588548601864,42,0.005224188284369796,0.8740798781379054
prop_sub_transp,0.0050346289653405586,0.014259546158234765,0.007290279627163782,43,0.005034628965340558,0.879114507103246
tenencia_insegura,0.004940187107733022,0.00166886267283311,0.004460719041278296,44,0.004940187107733021,0.884054694210979
n_fuentes_no_lab,0.004858103078198585,0.013964987126913849,0.012283621837549934,45,0.004858103078198584,0.8889127972891776
num_personas,0.00478645019550174,0.009818511955103736,0.009820239680426099,46,0.004786450195501739,0.8936992474846793
prop_mujeres,0.004369989959006722,0.01333116863685097,0.02033954727030626,47,0.004369989959006721,0.898069237443686
prop_informal,0.0041392701561375304,0.0050763665151873465,0.010352862849533954,48,0.00413927015613753,0.9022085075998236
nivel_educ_jefe,0.004081927823938658,0.003240592279340724,0.008022636484687084,49,0.004081927823938657,0.9062904354237623
prop_patron,0.004024259059929466,0.014227378940393057,0.0038948069241011986,50,0.0040242590599294656,0.9103146944836917
alguno_transf_nac,0.0037549429134292414,0.013522888355731224,0.00655792276964048,51,0.0037549429134292405,0.914069637397121
nivel_educ_max,0.003691975684328072,0.0036458206493563965,0.008688415446071905,52,0.0036919756843280713,0.9177616130814491
log_num_personas,0.003480133176305477,0.005485677959793371,0.005758988015978695,53,0.003480133176305476,0.9212417462577546
num_cuartos,0.0033183271631449756,0.013094768791728495,0.01121837549933422,54,0.0033183271631449748,0.9245600734208995
num_personas_ug,0.0033181291033948946,0.007684385597229684,0.008055925432756324,55,0.0033181291033948937,0.9278782025242944
depend_x_informal,0.0032879073861964456,0.005312028135625426,0.011351531291611185,56,0.0032879073861964447,0.9311661099104909
prop_pensionado,0.003249303707019112,0.018232604969433373,0.002263648468708389,57,0.003249303707019111,0.93441541361751
tasa_ocupacion,0.003237402883480457,0.006068786412113792,0.012350199733688415,58,0.0032374028834804562,0.9376528165009905
tasa_desempleo,0.003170389367040599,0.005038306418802446,0.006424766977363515,59,0.003170389367040598,0.9408232058680311
educ_jefe_sq,0.0029040532862244606,0.0025007181241653536,0.007256990679094541,60,0.00290405328622446,0.9437272591542556
prop_jornalero,0.002743358241550987,0.008219759057285767,0.0025965379494007988,61,0.0027433582415509867,0.9464706173958066
alguno_subsidio,0.0027300007619059504,0.003087890964763804,0.004727030625832224,62,0.00273000076190595,0.9492006181577126
n_ocupados,0.0026500517431219226,0.00603299866358555,0.004094540612516645,63,0.002650051743121922,0.9518506699008346
prop_2do_empleo,0.0025044912141844885,0.01857866440029948,0.005459387483355526,64,0.002504491214184488,0.9543551611150191
arriendo_pagado,0.0024958794662177787,0.015776570201243238,0.005758988015978695,65,0.0024958794662177783,0.9568510405812368
dep_empleo_formal,0.002477237459018733,0.001627104186126992,0.002330226364846871,66,0.0024772374590187325,0.9593282780402556
ratio_depend,0.002414197791397858,0.004811888755584291,0.012316910785619174,67,0.0024141977913978577,0.9617424758316534
prop_adultos_may_p,0.0024023068708467076,0.002871383275848025,0.005792276964047936,68,0.002402306870846707,0.9641447827025001
alguno_agropec,0.0019119868525507022,0.013794663927729964,0.0019973368841544607,69,0.0019119868525507018,0.9660567695550508
vulnerabilidad_lab,0.0017748007666571965,0.009063167840276417,0.005226364846870839,70,0.001774800766657196,0.967831570321708
log_n_menores,0.0017566172311018564,0.0019890887383020197,0.003195739014647137,71,0.001756617231101856,0.9695881875528098
n_privaciones,0.0017563542517670268,0.002492037293962496,0.00525965379494008,72,0.0017563542517670264,0.9713445418045769
antiguedad_alta,0.0017531101064161654,0.0017961376837177154,0.005226364846870839,73,0.001753110106416165,0.9730976519109931
n_inactivos,0.0017350575103622676,0.004865497709384285,0.007756324900133156,74,0.0017350575103622671,0.9748327094213554
ratio_depend_sq,0.0016574819075833754,0.0033080789344265113,0.008655126498002663,75,0.001657481907583375,0.9764901913289388
prop_afil_salud,0.0016518093296301337,0.006638741546119985,0.006691078561917444,76,0.0016518093296301333,0.9781420006585689
n_desempleados,0.0015973902126315282,0.003982383511743386,0.0039946737683089215,77,0.0015973902126315278,0.9797393908712004
num_cuartos_dorm,0.001578474589555519,0.0037947076492671275,0.004960053262316911,78,0.0015784745895555186,0.981317865460756
brecha_educ,0.0015200355014905733,0.0030286202890249182,0.008422103861517975,79,0.001520035501490573,0.9828379009622465
rural_x_cta_propia,0.0014917073638749576,0.0027660040091026096,0.004127829560585885,80,0.0014917073638749572,0.9843296083261215
mujer_jefa,0.0014746017868482984,0.003580645560313625,0.006158455392809587,81,0.001474601786848298,0.9858042101129698
multi_privado,0.0014131203726500507,6.145632833416867e-4,0.0020972037283621837,82,0.0014131203726500505,0.9872173304856199
eje_cafetero,0.0012417591685744216,0.005061020208170034,0.003828229027962716,83,0.0012417591685744214,0.9884590896541943
jefe_mayor_pension,0.001233864195175481,8.963829789096715e-4,0.0018641810918774966,84,0.0012338641951754807,0.9896929538493697
n_menores_18,0.001068968541608047,0.0028255888917227915,0.004294274300932091,85,0.0010689685416080468,0.9907619223909778
alguno_remesas,0.0010044295800179259,0.009083734779983694,0.0016644474034620505,86,0.0010044295800179257,0.9917663519709957
costa_caribe,9.523688411545427e-4,0.0016288707347272306,0.00459387483355526,87,9.523688411545425e-4,0.9927187208121503
prop_domestico,9.290108112396827e-4,0.008589285728087969,0.002996005326231691,88,9.290108112396825e-4,0.9936477316233899
hogar_monoparental,0.00086020338695233305,0.0023307937970062564,0.0031291611185086552,89,8.602033869523328e-4,0.9945079350103423
n_adultos_may,6.857558434656061e-4,0.001749621454268271,0.002230359520639148,90,6.85755843465606e-4,0.9951936908538079
un_solo_ocupado,6.765991102560229e-4,8.685179384376929e-4,0.002762982689747004,91,6.765991102560228e-4,0.9958702899640639
rural_costa_caribe,6.398994638149988e-4,0.004369445787142566,0.0013648468708388815,92,6.398994638149986e-4,0.996510189427879
alguno_pension_jub,5.691652665978115e-4,0.003570847011799549,6.324900133155792e-4,93,5.691652665978114e-4,0.9970793546944767
