variable,importancia,rank
horas_prom,0.047439013031318644,1
arriendo_estimado,0.02446688746264447,2
tasa_empleo_total,0.024152180589688054,3
subsidiado_x_menores,0.021869180254367033,4
indice_formalidad,0.01714655035875293,5
prop_contributivo,0.016361618669555267,6
menores_por_ocupado,0.01607317108635332,7
edad_prom,0.012920787529756997,8
antiguedad_prom,0.011620037234887097,9
educ_x_formal,0.009708935942478706,10
educ_x_ocup,0.008913647847955468,11
menores_x_desocup,0.008856196993642085,12
prop_cotiza_pension,0.008761392892463823,13
prop_microempresa,0.00733215195668003,14
prop_subsidiado,0.006367003460678192,15
edad_jefe,0.006273886428907922,16
edad_jefe_sq,0.005998970459899239,17
educ_prom_sq,0.0058016455100572345,18
prop_menores,0.005784362969484894,19
nivel_educ_prom,0.0057090494808694206,20
hacinamiento_sq,0.005704914938445725,21
hacinamiento,0.0056890497005636165,22
cuartos_pc,0.005412368594937924,23
valor_alojamiento,0.005327204999759613,24
prop_asalariado,0.004916740363476756,25
tasa_ocup_sq,0.004474449822039508,26
tasa_ocupacion,0.00374930936343159,27
hacinamiento_dorm,0.0037178002220235205,28
formal_estricto,0.0034209842791317166,29
tipo_tenencia,0.003212576851910106,30
prop_prima_serv,0.0028772025615707198,31
prop_cta_propia,0.0027825510996214043,32
num_personas_ug,0.002507094363622811,33
n_inactivos,0.002410016598242016,34
educ_x_rural,0.002205811002357483,35
prop_gran_empresa,0.0021703509767889624,36
alguno_transf_nac,0.0021252364880617316,37
dep_empleo_formal,0.0021155566593116406,38
nivel_educ_max,0.0020406414417624454,39
prop_informal,0.0018472364693303083,40
zona,0.001841636784823435,41
prop_mujeres,0.0018262603590244852,42
prop_sub_transp,0.0018043582715592625,43
n_fuentes_no_lab,0.001728711927400502,44
n_privaciones,0.0016591643053207122,45
num_personas,0.0016051359078265352,46
ingresos_activos,0.0016042420317775963,47
ratio_depend,0.0015695733971690226,48
log_num_personas,0.0015644929899576538,49
vivienda_propia_pag,0.0015523419848420502,50
ratio_depend_sq,0.0014714978130136855,51
educ_jefe_sq,0.0013967307703788637,52
depend_x_informal,0.0013621045338188687,53
tasa_desempleo,0.0013385857861096333,54
n_menores_18,0.0013336244772983207,55
nivel_educ_jefe,0.0013029492345781161,56
alguno_arriendos,0.001241965952864952,57
alguno_subsidio,0.0012294632792992158,58
log_n_menores,0.0011828144419180964,59
num_cuartos,0.0011102303886648317,60
prop_adultos_may_p,0.0010219686623274757,61
num_cuartos_dorm,9.780907640552275e-4,62
multi_privado,9.228128806240569e-4,63
prop_afil_salud,8.944505304508136e-4,64
tenencia_insegura,8.247435923673851e-4,65
prop_patron,8.230368768457996e-4,66
brecha_educ,7.963492784339255e-4,67
doble_ingreso,7.140398299221551e-4,68
hogar_monoparental,7.041094626501924e-4,69
rural_x_cta_propia,6.76160278689959e-4,70
n_ocupados,6.651615663016145e-4,71
educ_superior_jefe,6.232942234605139e-4,72
region_pacifico,5.731078451750064e-4,73
n_desempleados,5.414470464455978e-4,74
antiguedad_alta,5.26242197891121e-4,75
prop_fam_sin_rem,5.213985608217316e-4,76
mujer_jefa,5.081140734283311e-4,77
vulnerabilidad_lab,4.862154161666021e-4,78
prop_subempleo,4.459041516340393e-4,79
dep_educacion,3.92702484881103e-4,80
costa_caribe,3.9096260461418377e-4,81
educ_media_o_mas,3.8353448383174744e-4,82
jefe_mayor_pension,3.6240868386989994e-4,83
prop_2do_empleo,3.5147350536097446e-4,84
eje_cafetero,3.4219852292834455e-4,85
prop_jornalero,3.198094466018072e-4,86
n_adultos_may,2.959762936451238e-4,87
arriendo_pagado,2.5176549448347276e-4,88
un_solo_ocupado,2.3533960441894856e-4,89
alguno_cesantias,2.0627389878707047e-4,90
prop_pensionado,1.8524072141318682e-4,91
bogota,1.2682168347846412e-4,92
dep_dependencia,1.2173558982666957e-4,93
prop_domestico,1.0066296233836333e-4,94
alguno_remesas,7.604910605121325e-5,95
alguno_agropec,6.335657449806131e-5,96
alguno_pension_jub,6.330821302069411e-5,97
sin_ocupados,5.7063551653075975e-5,98
rural_costa_caribe,5.253266394326994e-5,99
prop_sub_alim,5.033317431195246e-5,100
proteccion_social,4.0371823512704484e-5,101
privado_severo,3.976825277745307e-5,102
dep_proteccion,2.3216722877129245e-5,103
dep_vivienda,1.3890081601494556e-5,104
desprotegido,3.296090030868726e-7,105
tiene_ingreso_no_lab,2.195437882468454e-7,106
solo_subsidio,0,107
alguno_intereses,-7.244544140304991e-6,108
