technique,F1_mean,F1_sd,th_mean
class_weights,0.6826928275016483,0.004214224391732347,0.6120000000000001
upsample,0.6826457906446439,0.004254322208849813,0.6100000000000001
downsample,0.6823143583952439,0.004502293393811652,0.6020000000000001
smote,0.671424812128637,0.004606755795508421,0.5800000000000001
baseline,0.669722272029591,0.0050236816451116224,0.348
