Feature,Gain,Cover,Frequency
menores_por_ocupado,0.11084544614851889,0.010520603531543573,0.009809317232671824
horas_prom,0.0760903279499761,0.0525896270219621,0.0392372689306873
prop_contributivo,0.0686481307764364,0.019070971649211215,0.021884813363980706
subsidiado_x_menores,0.06543109516520146,0.019847428582877212,0.017384829550972838
arriendo_estimado,0.056366010200361034,0.06346876433494186,0.028521480138560654
prop_cotiza_pension,0.05340840002925853,0.009252650819144304,0.0037877561591505068
indice_formalidad,0.04016533451673009,0.0211640399486287,0.015312894557933245
prop_microempresa,0.036250102303972534,0.01526258451015867,0.010424422933730455
tasa_empleo_total,0.03135185435307796,0.015675341351246336,0.01589562627472563
hacinamiento,0.024642541061938358,0.010681042127992093,0.020686975946129692
prop_subsidiado,0.018311644700068186,0.00703843350529267,0.016025122211790605
valor_alojamiento,0.01810292043883059,0.03623141501739378,0.02324452070316294
educ_x_formal,0.01807782922221811,0.009603001335108632,0.00906471559454822
tipo_tenencia,0.016802389974322943,0.028276093833991888,0.0117193823043802
nivel_educ_prom,0.015990336735167403,0.01497974236397706,0.027647382563372073
menores_x_desocup,0.013667471072001586,0.013294186046581722,0.01243160995823756
antiguedad_prom,0.013375009569602823,0.032383063051962833,0.03742432581177765
educ_x_ocup,0.012799925197468039,0.008232805111583108,0.018161805173362685
ciudad,0.011379272962765235,0.033577184286747504,0.03557900870860177
prop_asalariado,0.011145548813378165,0.008636844025765922,0.009194211531613195
cuartos_pc,0.010988558107981241,0.008456399808787204,0.015151024636602027
edad_prom,0.010959501774818877,0.020275845023598207,0.04431998446048755
edad_jefe,0.010653207298099336,0.020021942431640936,0.041373951892259384
ingresos_activos,0.009199529960545771,0.006959115723007173,0.0029784065524944155
educ_prom_sq,0.008985748294340744,0.01006147931573221,0.021787691411181975
formal_estricto,0.008593812560663282,0.008536079536333263,0.006280552947651267
hacinamiento_sq,0.008438858114677544,0.006123978135038033,0.010456796917996699
dpto,0.007680991148565166,0.026057227464925354,0.032632976140373596
prop_menores,0.007022368996632418,0.006332745572819589,0.011428016445984008
zona,0.006903593042668124,0.011453082526148187,0.0058596911521901
edad_jefe_sq,0.0067503117341246605,0.01362124264031446,0.026838032956715982
prop_fam_sin_rem,0.006742746814876927,0.017844731454485497,0.006507170837514973
prop_prima_serv,0.006738419306985839,0.00870975435046091,0.00906471559454822
alguno_arriendos,0.006374921795433114,0.010536712996556246,0.0027194146783644665
region_pacifico,0.006289424472132889,0.006372364966853139,0.005535951309527664
vivienda_propia_pag,0.005890831624129975,0.003173121213394963,0.0052122114668652275
hacinamiento_dorm,0.005460956585664308,0.008493743990812925,0.012561105895302535
prop_subempleo,0.00542143072281676,0.010097024928830595,0.00861147981482081
prop_gran_empresa,0.005401126213607359,0.009334661099280573,0.007284146459904821
prop_cta_propia,0.00534529347103312,0.008743488898371425,0.011687008320113957
tasa_ocup_sq,0.005276276551539298,0.0055359875713206904,0.008740975751885784
educ_x_rural,0.005204502973718095,0.008730347295236364,0.005924439120722587
prop_sub_transp,0.005037482941827676,0.014126968982029618,0.007219398491372334
tenencia_insegura,0.004932275840269147,0.0016235325786771975,0.004402861860209136
n_fuentes_no_lab,0.00487008992449434,0.013535136264492069,0.012172618084107611
num_personas,0.004821312488344259,0.00957003084427097,0.009874065201204311
prop_mujeres,0.004444871907014288,0.012937705222233805,0.020233740166402277
prop_informal,0.004183451487935943,0.004970110925804198,0.010456796917996699
nivel_educ_jefe,0.004109005639287178,0.0031733456997896153,0.008093496066560912
prop_patron,0.004038530386896072,0.014381649912500355,0.003982000064747969
nivel_educ_max,0.0037457119728638824,0.003574924189531636,0.008935219657483246
alguno_transf_nac,0.0037409965016619437,0.013411492907195668,0.006410048884716242
log_num_personas,0.0034685647924558613,0.0053083905003845,0.005633073262326395
num_personas_ug,0.003438043550746877,0.007794741557727307,0.008579105830554566
num_cuartos,0.0033730231647942084,0.013717445994651,0.011460390430250251
depend_x_informal,0.003295894816530024,0.0051458735080316155,0.011201398556120302
tasa_ocupacion,0.0032743193804294275,0.005901579062190346,0.01233448800543883
prop_pensionado,0.003237341947013606,0.017979160869805673,0.0022338049143708115
tasa_desempleo,0.003168630429900077,0.004982754463697843,0.006312926931917511
educ_jefe_sq,0.0029377694278282522,0.0024610775935536016,0.007284146459904821
alguno_subsidio,0.002767088037855913,0.0030424002865367407,0.00488847162420279
prop_jornalero,0.002736947270523813,0.007994374675351107,0.0025575447570332483
n_ocupados,0.0026552521337954637,0.006253131896936371,0.004143869986079187
arriendo_pagado,0.002499697477150849,0.016433205634412886,0.005794943183657613
prop_2do_empleo,0.0024973154481787202,0.01863508601504906,0.005374081388196446
dep_empleo_formal,0.0024830103057041997,0.0016505345430757245,0.002363300851435786
ratio_depend,0.0024259154037712134,0.004703765628711917,0.012140244099841368
prop_adultos_may_p,0.002407212795802942,0.0027915077313363946,0.005730195215125126
alguno_agropec,0.001911467468707871,0.01368898665386731,0.002007187024507106
vulnerabilidad_lab,0.0018099513156532756,0.008908719810736002,0.005309333419663958
n_privaciones,0.0017803408013773896,0.0024268704192177658,0.005309333419663958
antiguedad_alta,0.0017648189811186998,0.0017483205711240658,0.0052122114668652275
log_n_menores,0.0017600202183584994,0.001950634582928138,0.0031402764738256337
n_inactivos,0.0017393224487873935,0.004733190305622115,0.007640260286833501
prop_afil_salud,0.0017205350880054521,0.006532193478010425,0.00692803263297614
ratio_depend_sq,0.0016508684578258037,0.0031998478137666496,0.008417235909223348
n_desempleados,0.0016133342860994958,0.003978829884651222,0.0040791220175466995
num_cuartos_dorm,0.0015824944907115459,0.004075628150248341,0.004920845608469034
brecha_educ,0.001540694001164364,0.003036629691938618,0.008514357862022079
mujer_jefa,0.0015139967735299145,0.003488371295542546,0.006248178963385024
rural_x_cta_propia,0.0014927759658511716,0.0026765267372149564,0.004046748033280456
multi_privado,0.0014074819397095983,5.944564859553644e-4,0.0020395610087733497
eje_cafetero,0.0012722809269874822,0.00497108474153607,0.003917252096215481
jefe_mayor_pension,0.0012434541935811162,9.803496025266977e-4,0.0019100650717083752
n_menores_18,0.0011181517249934695,0.002868322468006765,0.004597105765806598
