technique,F1,Precision,Recall,AUC_ROC,threshold,best_nrounds
baseline,0.7383,0.6845,0.8014,0.9429,0.33999999999999997,316
smote,0.736,0.6953,0.7818,0.9427,0.37,328
class_weights,0.7355,0.6858,0.7929,0.942,0.6200000000000001,499
upsample,0.7346,0.6894,0.7862,0.9419,0.6200000000000001,499
downsample,0.7334,0.6771,0.79990000000000006,0.9409,0.68,230
