technique,F1,Precision,Recall,AUC_ROC,threshold,best_nrounds
class_weights,0.7379,0.7047,0.7744,0.9429,0.6900000000000001,499
baseline,0.7377,0.6989,0.7809,0.9432,0.37,498
smote,0.7377,0.6852,0.7988,0.9428,0.35,496
upsample,0.7375,0.7024,0.7763,0.9426,0.68,499
downsample,0.7339,0.6884,0.7858,0.9414,0.7000000000000001,402
