Feature,Gain,Cover,Frequency
subsidiado_x_menores,0.09240960769245564,0.014519937555547197,0.013574834640824488
arriendo_estimado,0.08606543705461045,0.06508537493444547,0.04249346254422397
menores_por_ocupado,0.08194378722983713,0.015023210461429827,0.010267651130595292
horas_prom,0.07716473877386612,0.052215555727138416,0.05187663436394401
prop_cotiza_pension,0.06756445282253173,0.011146222212204382,0.0060375326872788805
indice_formalidad,0.051991435978388005,0.022938636230667823,0.01430549146285187
educ_x_formal,0.046023082321631284,0.011585429677596319,0.00988309490847562
prop_microempresa,0.045218930767996976,0.015443944885243822,0.011152130441470544
formal_estricto,0.03890699642521906,0.00904051820893154,0.005922165820642978
prop_contributivo,0.03243193688018775,0.018230222957346307,0.017689586217505
hacinamiento,0.026019455484634833,0.014612963454738758,0.0229964620827565
tasa_empleo_total,0.019779317362332797,0.011498941144970496,0.012536532841101369
tipo_tenencia,0.019072695618184587,0.020464914014823855,0.0178049530841409
antiguedad_prom,0.015381022214525756,0.03743834798606245,0.049146285186894324
prop_asalariado,0.015369446103979865,0.014755993253512937,0.009767728041839717
prop_subsidiado,0.01266153340021051,0.009103591202744054,0.015497615751422857
valor_alojamiento,0.012371614671018666,0.029497908049413057,0.022611905860636824
nivel_educ_prom,0.010264742529122886,0.017858284768359756,0.025649900015382247
educ_x_ocup,0.010110105345126338,0.01218548681057396,0.0178049530841409
ciudad,0.009248324290654406,0.037147324275489335,0.03610982925703738
prop_fam_sin_rem,0.008963253327287894,0.015452890062784464,0.008498692508844793
zona,0.008529156882795237,0.011489094682993894,0.006075988309490848
edad_prom,0.00775347584585077,0.027104814607635773,0.04014766958929396
alguno_arriendos,0.007721727022708442,0.010816204557384706,0.003730195354560837
cuartos_pc,0.0076101914440300815,0.008351574130522474,0.012305799107829564
dpto,0.007295527931438785,0.030436243828025906,0.03672511921242886
edad_jefe,0.007276506515094751,0.021183943512799112,0.03664820796800492
prop_prima_serv,0.007128595365525279,0.00761738914473251,0.010998307952622674
educ_prom_sq,0.0063672454641052765,0.011613261416164143,0.015843716351330566
ingresos_activos,0.006338425323001668,0.006678072667153107,0.0026149823104137824
menores_x_desocup,0.006176134136695673,0.012059005308304888,0.012075065374557761
edad_jefe_sq,0.006014959592239833,0.014677574928865837,0.025726811259806182
hacinamiento_sq,0.005686872119365093,0.003997259441220451,0.0071912013536379014
prop_gran_empresa,0.005139951337479433,0.011296914338409623,0.007614213197969543
n_fuentes_no_lab,0.005092648848511175,0.011116271186459194,0.012267343485617596
region_pacifico,0.004490048068438691,0.007691590040905811,0.006460544531610522
prop_sub_transp,0.004484424044003044,0.013119275754879011,0.008229503153361021
prop_mujeres,0.004481245080170324,0.014912551716995829,0.022227349638517153
tasa_desempleo,0.004343920465438158,0.00678918534316434,0.00869097061990463
prop_pensionado,0.0042293260581881984,0.015101976518341062,0.0024996154437778805
educ_x_rural,0.004047130538378718,0.00831391284668279,0.006114443931702815
arriendo_pagado,0.0038582779078977394,0.01412271735132417,0.008498692508844793
alguno_transf_nac,0.0035468653632860516,0.011418023847106273,0.007383479464697739
prop_cta_propia,0.0034881057438862816,0.011946472568912282,0.011652053530226119
prop_patron,0.0034830084663647768,0.013879869596404635,0.004845408398707891
alguno_subsidio,0.0034201473059347104,0.0029803145551236926,0.004730041532071989
tasa_ocup_sq,0.003394898878555945,0.00232649190530073,0.0051145977541916625
prop_subempleo,0.003381355168060296,0.012553014438707575,0.009536994308567913
nivel_educ_jefe,0.003300945018332746,0.004257871145844171,0.008037225042301184
num_personas_ug,0.003273656216759506,0.00757291324833271,0.005845254576219043
vivienda_propia_pag,0.0031908687750378654,0.0012935695440067804,0.002268881710506076
prop_menores,0.0031124787844368125,0.006702099086970978,0.00869097061990463
log_num_personas,0.003026855072415776,0.003906798302431119,0.003730195354560837
tasa_ocupacion,0.0029630180055135644,0.0033712198944391807,0.007575757575757576
num_personas,0.0027975332235161228,0.006210541469030442,0.006268266420550684
nivel_educ_max,0.002778618658245681,0.003349267180677564,0.008114136286725119
hacinamiento_dorm,0.0027141643579345733,0.007549569135606088,0.011805876019073989
prop_2do_empleo,0.0025650772689822135,0.01548947619605612,0.006845100753730195
prop_informal,0.002469564538231305,0.005663173762513164,0.008575603753268728
prop_afil_salud,0.0024621552345066074,0.008004699919244618,0.009037071219812337
prop_jornalero,0.0023482157954591012,0.010436578665909982,0.0036148284879249344
num_cuartos,0.0022958015896350705,0.010343775503330852,0.012344254730041531
educ_jefe_sq,0.0021637507973514074,0.0025578558021972057,0.004345485309952315
dep_empleo_formal,0.0019128432988659574,0.0016357859051019698,0.002153514843870174
depend_x_informal,0.0018254599133086407,0.009091377341920543,0.010344562375019227
n_inactivos,0.0015834132566908627,0.0035925376182614093,0.007152745731425935
alguno_agropec,0.0014688605309858271,0.010211594951197686,0.0022304260882941088
n_privaciones,0.001453491688638544,0.002554571142026525,0.005076142131979695
n_menores_18,0.001365123733008521,0.0025233356214921306,0.004230118443316413
ratio_depend,0.001324425603010565,0.005019786369973508,0.00911398246423627
prop_adultos_may_p,0.001307113611319554,0.0027300434212275725,0.005191508998615597
eje_cafetero,0.0013047181257642843,0.004505416105780319,0.004345485309952315
prop_domestico,0.001299632399710195,0.009454994391808035,0.003845562221196739
rural_x_cta_propia,0.0012914767749282335,0.004176262612627865,0.005191508998615597
num_cuartos_dorm,0.0012804341496524768,0.00451351685780927,0.006575911398246424
mujer_jefa,0.0012440269084882014,0.0033238507716200835,0.0050376865097677285
vulnerabilidad_lab,0.0011958994522220275,0.0052131085921278434,0.0054606983540993696
n_desempleados,0.001173452255691498,0.002871464253417429,0.0035763728657129674
brecha_educ,0.0011558525361996148,0.004318819213577741,0.00796031379787725
ratio_depend_sq,0.0010738729270992247,0.0037642936263666297,0.006268266420550684
costa_caribe,9.880186670410223e-4,0.0024769725726967,0.005576065220735272
n_ocupados,9.837127612997015e-4,0.0034516137142733398,0.0041147515766805105
n_adultos_may,9.826480047906865e-4,0.001668202775517493,0.0028072604214736193
hogar_monoparental,9.697994038467596e-4,0.003564942008697272,0.003845562221196739
alguno_remesas,9.557387651842713e-4,0.008785809024537279,0.0023457929549300107
tenencia_insegura,9.271523487713677e-4,3.4049162081279115e-4,0.001961236732810337
rural_costa_caribe,7.219029878675918e-4,0.0038338873049943733,0.0018074142439624672
jefe_mayor_pension,6.389835224996158e-4,5.048333544179366e-4,0.0013459467774188587
multi_privado,5.443022567470456e-4,6.50509501451588e-4,0.0014997692662667283
educ_superior_jefe,5.060811945429805e-4,6.424811740648123e-4,8.8447931087525e-4
