max_depth,eta,gamma,min_child_weight,colsample_bytree,colsample_bylevel,subsample,lambda,alpha,best_nrounds,nrounds_sd,F1_OOF,Precision,Recall,AUC_ROC,Threshold
6,0.08,0.5,1,0.8,0.5,0.8,10,2,497,8.4,0.7394,0.6998,0.7836,0.9432,0.37
5,0.08,1,15,0.7,0.7,0.7,1,0.5,491,5,0.7383,0.6984,0.7831,0.9427,0.37
6,0.1,1,3,0.3,1,0.9,2,2,410,50.3,0.7381,0.6992,0.7817,0.9432,0.37
4,0.1,2,8,0.8,1,0.9,5,0.1,497,2.6,0.7372,0.7079,0.769,0.9423,0.39
4,0.08,2,1,1,0.5,0.7,10,0,499,0,0.7368,0.6913,0.7888,0.9418,0.36
5,0.15,3,10,0.5,1,0.6,10,1,394,66.6,0.7367,0.6929,0.7864,0.9422,0.36
6,0.08,0.5,5,0.3,0.5,0.7,1,0,454,23.3,0.7363,0.6976,0.7795,0.9425,0.37
4,0.1,3,10,0.3,0.7,0.6,5,1,494,3,0.7355,0.6955,0.7803,0.9414,0.37
6,0.03,5,10,0.3,0.7,0.8,1,0,499,0,0.7346,0.7013,0.7712,0.9408,0.38
5,0.03,5,10,1,0.7,0.6,1,0.05,499,0,0.7342,0.6994,0.7727,0.9407,0.38
3,0.15,1,15,0.4,0.7,0.8,5,1,498,1.3,0.7342,0.6944,0.7787,0.941,0.37
6,0.2,0.5,5,0.3,0.7,0.6,1,0.5,170,5.5,0.7334,0.6892,0.7837,0.9409,0.36
4,0.15,5,3,0.4,1,0.9,5,1,471,54.7,0.7329,0.693,0.7776,0.9405,0.37
3,0.15,5,1,1,0.5,0.6,1,0.1,492,11.8,0.7326,0.6939,0.7758,0.9405,0.37
5,0.03,5,1,0.8,0.7,0.9,5,2,499,0,0.7325,0.6977,0.771,0.9401,0.38
3,0.08,2,10,0.7,0.7,0.6,2,0,499,1.3,0.7323,0.6866,0.7845,0.9399,0.36
3,0.08,1,15,0.7,0.7,0.7,1,2,499,0,0.7321,0.6923,0.7768,0.9399,0.37
3,0.2,5,5,0.8,0.7,0.8,10,2,494,41.7,0.7316,0.693,0.7749,0.9399,0.37
3,0.15,5,15,0.5,0.5,0.8,10,2,498,5.3,0.7307,0.6919,0.7741,0.9394,0.37
5,0.03,0.5,20,0.3,0.5,0.9,10,1,499,0,0.7305,0.6971,0.7672,0.9387,0.38
4,0.03,1,1,1,0.7,0.8,5,0,499,0,0.7286,0.6865,0.7763,0.9383,0.37
4,0.03,1,20,0.5,0.7,0.7,10,0.05,499,0,0.7277,0.6867,0.7739,0.9376,0.37
3,0.05,0.5,3,0.4,0.7,0.7,1,0.5,499,0,0.7274,0.6943,0.7639,0.9376,0.38
3,0.05,3,15,0.5,0.7,0.8,1,2,499,0,0.7274,0.6818,0.7796,0.9375,0.36
3,0.05,5,8,0.3,0.7,0.6,1,0,499,0,0.7269,0.6876,0.771,0.9373,0.37
3,0.03,3,20,0.8,0.7,0.6,1,0.05,499,0,0.7206,0.6747,0.7732,0.9347,0.36
6,0.01,1,8,0.4,1,0.7,2,0.1,499,0,0.7201,0.6741,0.7728,0.9347,0.36
3,0.03,3,8,1,0.7,0.8,2,0,499,0,0.7198,0.6681,0.7803,0.9347,0.35
3,0.03,1,10,0.8,0.7,0.9,5,0.05,499,0,0.7188,0.6797,0.7626,0.9345,0.37
5,0.01,3,1,0.7,1,0.7,1,0.5,499,0,0.7155,0.6743,0.7619,0.9328,0.37
