subset,n_vars,F1_mean,F1_sd,th_mean
all,98,0.669722272029591,0.0050236816451116224,0.348
top60,60,0.6638765372560822,0.004148665940112758,0.33799999999999997
top40,40,0.6478948842768011,0.004725768650761998,0.336
top20,20,0.6168574613160593,0.004765683044378043,0.324
