technique,F1_mean,F1_sd,th_mean
baseline,0.6185769960232804,0.002024738172372154,0.95
class_weights,0.6185769960232804,0.002024738172372154,0.95
smote,0.6038478455078533,0.0034540712141624325,0.95
upsample,0.6027735713179205,0.005896239128871852,0.95
downsample,0.6016835043500434,0.008045324324416275,0.95
