max_depth,eta,gamma,min_child_weight,colsample_bytree,colsample_bylevel,subsample,lambda,alpha,best_nrounds,nrounds_sd,F1_OOF,Precision,Recall,AUC_ROC,Threshold
6,0.08,0.5,1,0.8,0.5,0.8,10,2,499,34.7,0.7403,0.69,0.7984,0.9418,0.35
6,0.1,1,3,0.3,1,0.9,2,2,490,17.1,0.7398,0.6944,0.7915,0.9416,0.36
5,0.08,1,15,0.7,0.7,0.7,1,0.5,495,10.3,0.739,0.6884,0.7975,0.9411,0.35
4,0.1,2,8,0.8,1,0.9,5,0.1,496,2.1,0.7387,0.6973,0.7855,0.9406,0.37
6,0.08,0.5,5,0.3,0.5,0.7,1,0,489,8.6,0.7384,0.7039,0.7765,0.941,0.38
5,0.15,3,10,0.5,1,0.6,10,1,368,67.7,0.7378,0.6981,0.7823,0.9407,0.37
4,0.08,2,1,1,0.5,0.7,10,0,499,0.5,0.73740000000000006,0.6964,0.7835,0.9404,0.37
4,0.1,3,10,0.3,0.7,0.6,5,1,499,0.4,0.7364,0.7138,0.7603,0.9395,0.4
5,0.03,5,10,1,0.7,0.6,1,0.05,499,0,0.7361,0.6992,0.777,0.939,0.38
3,0.15,1,15,0.4,0.7,0.8,5,1,499,0.5,0.736,0.7012,0.7745,0.9394,0.38
4,0.15,5,3,0.4,1,0.9,5,1,371,57.8,0.7358,0.6948,0.782,0.9387,0.37
3,0.15,5,1,1,0.5,0.6,1,0.1,499,3.5,0.7357,0.6897,0.7883,0.9389,0.36
6,0.03,5,10,0.3,0.7,0.8,1,0,499,0.4,0.7354,0.7006,0.7738,0.9389,0.38
6,0.2,0.5,5,0.3,0.7,0.6,1,0.5,193,26.7,0.7353,0.6901,0.7869,0.9393,0.36
5,0.03,5,1,0.8,0.7,0.9,5,2,499,0,0.7351,0.6931,0.7825,0.9387,0.37
3,0.08,2,10,0.7,0.7,0.6,2,0,499,0,0.7349,0.6934,0.7815,0.9384,0.37
3,0.08,1,15,0.7,0.7,0.7,1,2,499,0.4,0.7344,0.7057,0.7656,0.9384,0.39
3,0.2,5,5,0.8,0.7,0.8,10,2,498,30.5,0.7341,0.6882,0.7865,0.9381,0.36
3,0.15,5,15,0.5,0.5,0.8,10,2,499,1.3,0.7324,0.6914,0.7785,0.9375,0.37
5,0.03,0.5,20,0.3,0.5,0.9,10,1,499,0,0.7319,0.6904,0.7787,0.9369,0.37
4,0.03,1,1,1,0.7,0.8,5,0,499,0,0.7311,0.6818,0.7881,0.9368,0.36
3,0.05,3,15,0.5,0.7,0.8,1,2,499,0,0.73,0.6824,0.7847,0.9361,0.36
4,0.03,1,20,0.5,0.7,0.7,10,0.05,499,0,0.7296,0.6873,0.7775,0.9363,0.37
3,0.05,0.5,3,0.4,0.7,0.7,1,0.5,499,0,0.7292,0.6876,0.776,0.936,0.37
3,0.05,5,8,0.3,0.7,0.6,1,0,499,0,0.729,0.688,0.7751,0.9355,0.37
3,0.03,3,20,0.8,0.7,0.6,1,0.05,499,0,0.7236,0.6756,0.779,0.9333,0.36
3,0.03,3,8,1,0.7,0.8,2,0,499,0,0.7231,0.6743,0.7796,0.9332,0.36
3,0.03,1,10,0.8,0.7,0.9,5,0.05,499,0,0.7228,0.6811,0.7699,0.933,0.37
6,0.01,1,8,0.4,1,0.7,2,0.1,499,0,0.7222,0.6816,0.768,0.9329,0.37
5,0.01,3,1,0.7,1,0.7,1,0.5,499,0,0.718,0.6617,0.7849,0.9313,0.35
