Feature,Gain,Cover,Frequency
dep_empleo_formal,0.0018204074283871899,0.001316159903204062,0.002243762340692874
num_cuartos,0.0018074339750513025,0.010658830105660148,0.011263686950278226
vivienda_propia_pag,0.0018044612369554518,0.0018333014886625935,0.002602764315203734
num_cuartos_dorm,0.0018017870425380436,0.006020125044234203,0.007045413749775624
prop_adultos_may_p,0.0017837285114098362,0.004291598105186626,0.006955663256147908
n_desempleados,0.0016879251229153461,0.002708758511253188,0.005474780111290612
prop_domestico,0.0015001156273009178,0.01117988535527756,0.004487524681385748
eje_cafetero,0.001491057478445155,0.0051311879374451785,0.00480165140908275
mujer_jefa,0.0014820358071948065,0.0045511796146824254,0.0057889068389876145
brecha_educ,0.0013235881695030608,0.0030132333982474057,0.00870579788188835
n_ocupados,0.0012494726471300878,0.00425213253667457,0.006103033566684617
vulnerabilidad_lab,0.0012369264673156412,0.004681925235537746,0.006147908813498474
hogar_monoparental,0.0012030365309406515,0.0029013658149250002,0.003410518757853168
alguno_remesas,0.0011998139274725596,0.008828785714191467,0.0025130138215760187
costa_caribe,0.0010189494940357439,0.0025125680146036084,0.006058158319870759
rural_costa_caribe,9.728925332978074e-4,0.0041451870178907954,0.0029617662897145933
antiguedad_alta,8.310055417187644e-4,0.0018621204287650594,0.0031861425237838807
doble_ingreso,7.099983065795157e-4,9.939810007116995e-4,0.0016155088852988692
tenencia_insegura,6.826539216798358e-4,4.406068470780681e-4,0.002243762340692874
un_solo_ocupado,6.597168531940604e-4,0.0010122767243448743,0.0026925148088314485
multi_privado,6.375662941697364e-4,6.044244550305564e-4,0.0013911326512295818
dep_educacion,5.231164999642176e-4,0.0014333470687747775,0.0017501346257404416
prop_sub_alim,5.166912747879965e-4,0.008067386804691542,0.0012565069107880094
n_adultos_may,4.4778598076312113e-4,0.0020199679036754987,0.0024681385747621614
sin_ocupados,4.431575577716879e-4,1.0864470913461755e-4,1.795009872554299e-4
educ_media_o_mas,3.522854622159752e-4,6.460761135695413e-4,0.001884760366182014
alguno_pension_jub,1.6201831906099062e-4,0.002708915253425538,6.282534553940047e-4
dep_dependencia,1.5195053109086194e-4,4.811605704537121e-4,0.0012116316639741518
privado_severo,1.389508244613168e-4,8.509013280190852e-4,7.180039490217197e-4
alguno_cesantias,8.860499837330325e-5,2.4545775931990435e-4,7.180039490217197e-4
dep_proteccion,4.640766474656141e-5,4.8141878323599516e-4,3.1412672769700234e-4
alguno_intereses,4.631843545046729e-5,8.561071177666562e-5,3.1412672769700234e-4
dep_vivienda,2.4833145314052906e-5,2.9132916679357787e-4,2.2437623406928737e-4
proteccion_social,1.477552913353131e-5,3.2679227632005284e-4,8.975049362771496e-5
