technique,F1,Precision,Recall,AUC_ROC,threshold,best_nrounds
baseline,0.7408,0.7007,0.7857,0.9419,0.37,484
class_weights,0.7392,0.6987,0.7847,0.9416,0.67,499
upsample,0.7388,0.7014,0.7804,0.9414,0.67,498
smote,0.738,0.6941,0.7879,0.9412,0.37,498
downsample,0.735,0.6944,0.7806,0.9399,0.7000000000000001,359
