technique,F1_mean,F1_sd,th_mean
upsample,0.6716386270578609,0.004066930426833094,0.6120000000000001
class_weights,0.6714333151312721,0.004001364133401758,0.6140000000000001
downsample,0.6706936073939456,0.004106840620402854,0.6140000000000001
smote,0.6704730565855646,0.004535137849714235,0.6100000000000001
baseline,0.658953978273069,0.0053227379021168275,0.34199999999999997
