subset,n_vars,F1_mean,F1_sd,th_mean
all,82,0.658953978273069,0.0053227379021168275,0.34199999999999997
top60,60,0.6547941006667474,0.00404121007746113,0.34199999999999997
top40,40,0.6495392046879787,0.00533354879463644,0.332
top20,20,0.6252782774822458,0.004744424776749311,0.324
