mtry,min_node_size,F1_mean,F1_sd
50,10,0.7187903503396573,0.00515371914894461
80,10,0.717623136848704,0.005758532571955322
50,3,0.7175947544676552,0.004248154115937674
20,10,0.7174749151000638,0.004075899172921228
80,3,0.7173302455800061,0.004985214259633556
50,1,0.7168828133850985,0.005531952040126529
80,1,0.7159073841739291,0.005573735411580917
20,1,0.7153870450214944,0.003524616601325073
20,3,0.7146461150445597,0.0044758702723330665
