variable,importancia,rank
horas_prom,0.03549745370955918,1
tasa_empleo_total,0.019530547890252246,2
arriendo_estimado,0.012183615102899083,3
indice_formalidad,0.008880026028854755,4
prop_cotiza_pension,0.008246729148650819,5
antiguedad_prom,0.007314591243681571,6
menores_por_ocupado,0.006868113795713725,7
valor_alojamiento,0.00542362228767683,8
zona,0.005407589289015956,9
edad_prom,0.0049790947786249205,10
tasa_ocupacion,0.004621163860732926,11
edad_jefe,0.004320320105334947,12
alguno_transf_nac,0.003608566728081736,13
prop_menores,0.003295276590102687,14
prop_subsidiado,0.0031723607241169343,15
formal_estricto,0.0026195025129909927,16
ciudad,0.0019305000738192631,17
prop_prima_serv,0.0017023774549371035,18
n_fuentes_no_lab,0.0015948602986553921,19
tipo_tenencia,0.0015752867129097128,20
vivienda_propia_pag,0.0015588459982695596,21
num_personas_ug,0.0015315215822195075,22
n_inactivos,0.0014647698745913823,23
prop_mujeres,0.0014064322711120482,24
hacinamiento,0.0012820835471940776,25
cuartos_pc,0.0012433147114223981,26
num_personas,0.0011676729432952347,27
prop_contributivo,0.001079850049294128,28
alguno_subsidio,0.0010054367639904679,29
n_menores_18,8.724307716096989e-4,30
prop_cta_propia,8.506460141439247e-4,31
nivel_educ_max,7.628831592028117e-4,32
prop_microempresa,6.571051807002536e-4,33
dpto,6.205707564237874e-4,34
prop_jornalero,6.132820530938079e-4,35
ingresos_activos,5.863880051718808e-4,36
tasa_desempleo,5.723340802383698e-4,37
prop_patron,4.803558232802949e-4,38
num_cuartos_dorm,4.730688297526646e-4,39
alguno_arriendos,4.7201340154101357e-4,40
tenencia_insegura,4.4319688128835157e-4,41
prop_2do_empleo,3.910727181728815e-4,42
nivel_educ_jefe,3.7581655634973045e-4,43
prop_adultos_may_p,3.564362590537469e-4,44
hogar_monoparental,3.5508721611999427e-4,45
mujer_jefa,3.483816863097673e-4,46
n_ocupados,3.022142897577271e-4,47
un_solo_ocupado,2.642594586429838e-4,48
brecha_educ,2.6324058421160323e-4,49
num_cuartos,2.501155239563237e-4,50
costa_caribe,2.464147634964078e-4,51
rural_costa_caribe,2.458650185685585e-4,52
n_desempleados,2.308685260167851e-4,53
multi_privado,2.270991778922147e-4,54
alguno_agropec,2.1578497676749973e-4,55
doble_ingreso,1.9894948540438584e-4,56
prop_afil_salud,1.872883505822398e-4,57
antiguedad_alta,1.795521642970852e-4,58
hacinamiento_dorm,1.7647462327806252e-4,59
educ_media_o_mas,1.6544808465524042e-4,60
eje_cafetero,1.508040330428977e-4,61
educ_superior_jefe,1.4615297026242559e-4,62
dep_educacion,1.4614724610280682e-4,63
alguno_remesas,1.4216921306241725e-4,64
alguno_pension_jub,1.2879762391075866e-4,65
prop_pensionado,1.267548873844273e-4,66
proteccion_social,1.2511733358794451e-4,67
vulnerabilidad_lab,1.189295236743677e-4,68
prop_asalariado,1.1282933273647866e-4,69
prop_domestico,1.0879494431629499e-4,70
n_adultos_may,1.0541064847478054e-4,71
dep_dependencia,8.49351094091142e-5,72
dep_proteccion,7.306231462671509e-5,73
n_privaciones,6.465271881501077e-5,74
prop_sub_alim,6.195044878706346e-5,75
ratio_depend,4.977072914172132e-5,76
alguno_cesantias,1.9779793819910018e-5,77
dep_vivienda,4.45663318340972e-6,78
desprotegido,1.784116955642956e-6,79
tiene_ingreso_no_lab,0,80
privado_severo,-2.349538213457736e-6,81
sin_ocupados,-2.6486807847549976e-6,82
alguno_intereses,-1.6006696630398e-5,83
prop_subempleo,-2.279846796311813e-5,84
arriendo_pagado,-3.662297281786375e-5,85
prop_gran_empresa,-8.747169772460483e-5,86
region_pacifico,-1.1839253770427005e-4,87
dep_empleo_formal,-3.513025091904447e-4,88
nivel_educ_prom,-3.744542974425338e-4,89
prop_fam_sin_rem,-0.0010063758001138503,90
prop_sub_transp,-0.001063499949079345,91
prop_informal,-0.001244955800833472,92
