technique,F1_mean,F1_sd,th_mean
class_weights,0.722023377207392,0.0033216321043543786,0.5
baseline,0.7216111080749,0.004040606290720325,0.38
smote,0.7199370937190072,0.0038123446326368098,0.412
upsample,0.7192843680595097,0.0033041828507221383,0.446
downsample,0.7173117739095258,0.005169687646507562,0.642
