n_top,F1_mean,F1_sd
110,0.7182777848859995,0.004806128566309052
80,0.7168637340454573,0.004780651966975473
60,0.7120133517328501,0.0034520129257769546
40,0.7020928346011335,0.004906696779630093
20,0.6685893526397125,0.002600905052909367
