technique,F1_mean,F1_sd,th_mean
baseline,0.6967204613521106,0.007885788630254516,0.36
smote,0.6858914022114403,0.0077418175998810145,0.6
class_weights,0.681770131407121,0.0068306259592424,0.6
downsample,0.681368616890456,0.0072889358469168586,0.6
upsample,0.6812608628768737,0.007043896066516294,0.6
